Date,TankNum,ExptDay,Snail Count,Snail Size,Snail Size,Snail Size,Snail Size,egg mass,babies,Notes ,Entered By,Checked by,
21-Jan,2,1,4,6,4,4,5,,,,Ofure,Lakhdeep,
08-Feb,2,19,0,,,,,,,,Ofure,Lakhdeep,
28-Feb,2,39,0,,,,,,,,Ofure,Lakhdeep,
21-Jan,3,1,4,6,4,7,4,,,,Ofure,Lakhdeep,
08-Feb,3,19,3,4,4,5,,,,,Ofure,Lakhdeep,
28-Feb,3,39,2,[2],4,,,,,,Ofure,Lakhdeep,
21-Jan,5,1,4,5,5,4,4,,,,Ofure,Lakhdeep,
08-Feb,5,19,2,3,6,,,,,,Ofure,Lakhdeep,
28-Feb,5,39,1,4,,,,,,,Ofure,Lakhdeep,
21-Jan,9,1,4,6,4,4,6,,,,Ofure,Lakhdeep,
08-Feb,9,19,1,4,,,,,,,Ofure,Lakhdeep,
28-Feb,9,39,2,1,4,,,,,,Ofure,Lakhdeep,
21-Jan,10,1,4,6,4,4,4,,,,Ofure,Lakhdeep,
08-Feb,10,19,3,3,5,6,,,,,Ofure,Lakhdeep,
28-Feb,10,39,0,[2],,,,,,Dead Snail,Ofure,Lakhdeep,
21-Jan,15,1,4,5,4,5,,,,,Ofure,Lakhdeep,
08-Feb,15,19,0,,,,,,,NO SNAILS,Ofure,Lakhdeep,
28-Feb,15,39,0,,,,,,,NO SNAILS,Ofure,Lakhdeep,
22-Jan,16,1,4,4,4,6,4,,,,Ofure,Lakhdeep,
09-Feb,16,19,2,4,4,,,,,,Ofure,Lakhdeep,
01-Mar,16,39,2,7,6,,,2,,2 egg clusters,Ofure,Lakhdeep,
22-Jan,17,1,4,5,6,4,4,,,,Ofure,Lakhdeep,
09-Feb,17,19,2,6,4,,,,,,Ofure,Lakhdeep,
01-Mar,17,39,1,6,,,,2,,2 egg clusters,Ofure,Lakhdeep,
22-Jan,18,1,4,4,4,4,6,,,,Ofure,Lakhdeep,
09-Feb,18,19,2,6,5,,,,,,Ofure,Lakhdeep,
01-Mar,18,39,2,6,4,,,,,,Ofure,Lakhdeep,
25-Jan,20,1,4,5,6,4,3,7,,7-3 attached egg mass,Ofure,Lakhdeep,
13-Feb,20,20,2,4,6,,,,,,Ofure,Lakhdeep,
05-Mar,20,40,1,8,,,,,,,Ofure,Lakhdeep,
25-Jan,23,1,4,6,5,4,5,,,,Ofure,Lakhdeep,
13-Feb,23,20,2,4,4,,,,,,Ofure,Lakhdeep,
05-Mar,23,40,0,,,,,5,,"No snails, 5 egg masses",Ofure,Lakhdeep,
25-Jan,24,1,4,4,5,4,5,,,,Ofure,Lakhdeep,
13-Feb,24,20,3,3,4,4,,,,,Ofure,Lakhdeep,
05-Mar,24,40,3,8,2,1,,2,1,2 egg masses. 1 juvenile,Ofure,Lakhdeep,
25-Jan,28,1,4,5,5,4,5,,,,Ofure,Lakhdeep,
13-Feb,28,20,2,4,4,,,,,,Ofure,Lakhdeep,
05-Mar,28,40,1,6,,,,,,,Ofure,Lakhdeep,
25-Jan,34,1,4,4,4,5,6,,,,Ofure,Lakhdeep,
13-Feb,34,20,1,5,,,,,,,Ofure,Lakhdeep,
05-Mar,34,40,0,,,,,,,No snails,Ofure,Lakhdeep,
25-Jan,37,1,4,6,4,4,6,,,,Ofure,Lakhdeep,
13-Feb,37,20,2,4,6,,,,,,Ofure,Lakhdeep,
05-Mar,37,40,2,6,6,,,3,1,"3 egg masses, 1 juvenile",Ofure,Lakhdeep,
25-Jan,39,1,4,4,7,5,3,,,,Ofure,Lakhdeep,
13-Feb,39,20,2,4,6,"
",,,,,Ofure,Lakhdeep,
05-Mar,39,40,0,,,,,,,"No snails, some dapnia & cap",Ofure,Lakhdeep,
25-Jan,40,1,4,6,2,6,6,,,,Ofure,Lakhdeep,
13-Feb,40,20,2,,,6,6,,,,Ofure,Lakhdeep,
05-Mar,40,40,0,,,,,,,No snails,Ofure,Lakhdeep,
28-Jan,42,1,4,6,4,4,5,,,,Ofure,Lakhdeep,ASK JO
16-Feb,42,20,1,4,,,,1,3,,Ofure,Lakhdeep,
07-Mar,42,39,0,,,,,,,"3 babies, 1 egg mass, 1 shell",Ofure,Lakhdeep,
28-Jan,43,1,4,5,4,4,6,,,,Ofure,Lakhdeep,ASK JO
16-Feb,43,20,2,5,5,,,,,,Ofure,Lakhdeep,
07-Mar,43,39,1,6,,,,1,,1 egg mass,Ofure,Lakhdeep,
28-Jan,44,1,4,5,6,6,7,,,,Ofure,Lakhdeep,ASK JO
16-Feb,44,20,2,4,6,,,,,,Ofure,Lakhdeep,
07-Mar,44,39,2,6,9,,,18,,18 egg masses,Ofure,Lakhdeep,
28-Jan,47,1,4,5,3,2,5,,,,Ofure,Lakhdeep,ASK JO
16-Feb,47,20,1,3,,,,,,,Ofure,Lakhdeep,
07-Mar,47,39,4,6,6,4,7,13,,13 egg masses,Ofure,Lakhdeep,
28-Jan,48,1,4,6,6,6,7,,,,Ofure,Lakhdeep,ASK JO
16-Feb,48,20,4,4,6,6,7,,,,Ofure,Lakhdeep,
07-Mar,48,39,1,6,,,,3,,"3 egg masses, 1 visible dead",Ofure,Lakhdeep,
28-Jan,53,1,4,4,5,3,5,,,,Ofure,Lakhdeep,
16-Feb,53,20,4,4,5,6,6,,,,Ofure,Lakhdeep,
07-Mar,53,39,3,4,7,7,,3,6,"6 babies, 3 egg masses",Ofure,Lakhdeep,
28-Jan,56,1,4,6,5,6,6,,,,Ofure,Lakhdeep,
16-Feb,56,20,3,6,4,4,,,,,Ofure,Lakhdeep,
07-Mar,56,39,2,6,8,,,2,,2 egg masses,Ofure,Lakhdeep,
28-Jan,59,1,4,6,6,7,6,,,,Ofure,Lakhdeep,
16-Feb,59,20,3,6,8,8,,,,,Ofure,Lakhdeep,
07-Mar,59,39,3,6,8,7,,17,3,"3 babies, 17 egg masses",Ofure,Lakhdeep,
28-Jan,60,1,4,7,6,4,6,,,,Ofure,Lakhdeep,
16-Feb,60,20,2,6,6,,,,,,Ofure,Lakhdeep,
07-Mar,60,39,2,9,7,,,7,6,"6 babies, 7 egg masses",Ofure,Lakhdeep,
28-Jan,61,1,4,3,4,6,7,,,,Ofure,Lakhdeep,
16-Feb,61,20,3,3,6,5,,,,,Ofure,Lakhdeep,
07-Mar,61,39,3,7,9,6,,7,10,"10 babies, 7 egg masses",Ofure,Lakhdeep,
30-Jan,64,1,4,7,6,6,7,,,,Ofure,Lakhdeep,
18-Feb,64,20,4,6,6,8,8,,,,Ofure,Lakhdeep,
09-Mar,64,39,2,7,6,,,,,,Ofure,Lakhdeep,
30-Jan,65,1,4,3,7,6,7,,,,Ofure,Lakhdeep,
18-Feb,65,20,4,6,6,7,8,,,,Ofure,Lakhdeep,
09-Mar,65,39,1,7,[6],[6],,,,2 visible dead,Ofure,Lakhdeep,
30-Jan,67,1,4,7,7,7,6,,,,Ofure,Lakhdeep,
18-Feb,67,20,2,8,7,,,,,[]=dead ,Ofure,Lakhdeep,
09-Mar,67,39,1,8,[7],,,,2,"1 shell (long dead), 2 tiny babies",Ofure,Lakhdeep,
30-Jan,76,1,4,6,6,7,6,,,,Ofure,Lakhdeep,
18-Feb,76,20,3,8,7,6,,,,[]=dead,Ofure,Lakhdeep,
09-Mar,76,39,1,9,[8],[7],,1,,"2 recently dead, 1 egg mass",Ofure,Lakhdeep,
30-Jan,77,1,4,2,3,4,4,,,,Ofure,Lakhdeep,
18-Feb,77,20,2,6,8,,,,,[]=dead ,Ofure,Lakhdeep,
09-Mar,77,39,1,7,[7],,,,,1 shell,Ofure,Lakhdeep,
30-Jan,78,1,4,6,6,6,5,,,,Ofure,Lakhdeep,
18-Feb,78,20,4,6,6,7,17,,,,Ofure,Lakhdeep,
09-Mar,78,39,3,8,7,8,,1,5,"1 shell, 5 babies, 1 egg mass",Ofure,Lakhdeep,
30-Jan,80,1,4,7,7,4,6,,,,Ofure,Lakhdeep,
18-Feb,80,20,2,8,7,,,,,[]=dead ,Ofure,Lakhdeep,
09-Mar,80,39,1,9,[8],[5],,1,,"2 shells, 1 egg mass",Ofure,Lakhdeep,
02-Feb,83,1,4,3,3,3,4,,,,Ofure,Lakhdeep,
21-Feb,83,20,2,4,4,,,,,[]= dead or shell,Ofure,Lakhdeep,
13-Mar,83,40,1,7,[4],,,3,,"1 shell, 3 egg mass",Ofure,Lakhdeep,
02-Feb,84,1,4,3,4,5,5,,,,Ofure,Lakhdeep,
21-Feb,84,20,2,4,5,,,,,,Ofure,Lakhdeep,
13-Mar,84,40,3,9,6,6,,5,,5 egg mass,Ofure,Lakhdeep,
02-Feb,85,1,4,3,3,3,3,,,,Ofure,Lakhdeep,
21-Feb,85,20,1,4,,,,,,,Ofure,Lakhdeep,
13-Mar,85,40,0,[4],,,,,,1 dead,Ofure,Lakhdeep,
02-Feb,86,1,4,3,4,4,5,,,,Ofure,Lakhdeep,
21-Feb,86,20,3,3,4,4,,,,,Ofure,Lakhdeep,
13-Mar,86,40,1,4,[4],,,,,1 shell,Ofure,Lakhdeep,
02-Feb,87,1,4,3,3,4,5,,,5,Ofure,Lakhdeep,
21-Feb,87,20,1,4,,,,,,,Ofure,Lakhdeep,
13-Mar,87,40,0,,,,,,,,Ofure,Lakhdeep,
02-Feb,90,1,4,3,4,4,3,,,,Ofure,Lakhdeep,
21-Feb,90,20,2,4,4,,,,,,Ofure,Lakhdeep,
13-Mar,90,40,1,5,,,,,,,Ofure,Lakhdeep,
02-Feb,91,1,4,3,3,4,3,,,,Ofure,Lakhdeep,
21-Feb,91,20,3,4,3,4,,,,,Ofure,Lakhdeep,
13-Mar,91,40,3,3,4,4,,,,,Ofure,Lakhdeep,
02-Feb,95,1,4,4,3,3,5,,,,Ofure,Lakhdeep,
21-Feb,95,20,4,3,3,3,4,,,,Ofure,Lakhdeep,
13-Mar,95,40,3,6,6,6,,,,,Ofure,Lakhdeep,
02-Feb,98,1,4,4,4,3,5,,,,Ofure,Lakhdeep,
21-Feb,98,20,3,3,3,5,,,,,Ofure,Lakhdeep,
13-Mar,98,40,1,8,,,,1,,1 egg mass (being laid),Ofure,Lakhdeep,
02-Feb,102,1,4,2,5,4,6,,,,Ofure,Lakhdeep,
21-Feb,102,20,4,4,3,2,6,,,[]= dead or shell,Ofure,Lakhdeep,
13-Mar,102,40,1,8,[4],[3],,1,,"2 shell, 1 egg mass (being laid)",Ofure,Lakhdeep,
02-Feb,103,1,4,6,2,2,2,,,,Ofure,Lakhdeep,
21-Feb,103,20,3,3,3,3,,,,,Ofure,Lakhdeep,
13-Mar,103,40,2,4,5,,,,,,Ofure,Lakhdeep,
04-Feb,108,1,,,,,,,,,Ofure,Lakhdeep,
22-Feb,108,19,4,7,5,4,3.5,,,,Ofure,Lakhdeep,
14-Mar,108,39,4,7,7,7,4,,,,Ofure,Lakhdeep,
04-Feb,109,1,,,,,,,,,Ofure,Lakhdeep,
22-Feb,109,19,4,5,5,4,4,,,,Ofure,Lakhdeep,
14-Mar,109,39,,6,5,5,4,2,3,"2 egg mass, 3""large"" babies (1-2mm)",Ofure,Lakhdeep,
04-Feb,113,1,,,,,,,,,Ofure,Lakhdeep,
22-Feb,113,19,4,6,5,4,3,,,,Ofure,Lakhdeep,
14-Mar,113,39,3,6,6,5,,,,no visible dead/shells,Ofure,Lakhdeep,
04-Feb,114,1,,,,,,,,,Ofure,Lakhdeep,
22-Feb,114,19,3,5,5,5,,,,,Ofure,Lakhdeep,
14-Mar,114,39,2,7,6,,,3,,"1 or 2mm shell, 3 egg mass",Ofure,Lakhdeep,
04-Feb,115,1,,,,,,,,,Ofure,Lakhdeep,
22-Feb,115,19,1,4,,,,,,,Ofure,Lakhdeep,
14-Mar,115,39,1,5,,,,,,,Ofure,Lakhdeep,
04-Feb,116,1,,,,,,,,,Ofure,Lakhdeep,
22-Feb,116,19,,,,,,,,,Ofure,Lakhdeep,
14-Mar,116,39,1,7,,,,,,1 broken shell,Ofure,Lakhdeep,
05-Feb,121,1,4,4,4,6,5,,,,Ofure,Lakhdeep,
23-Feb,121,19,2,5,5,,,,,,Ofure,Lakhdeep,
15-Mar,121,39,1,6,,,,1,,1 egg mass,Ofure,Lakhdeep,
05-Feb,122,1,4,6,4,3,6,,,,Ofure,Lakhdeep,
23-Feb,122,19,3,6,5,4,,,,,Ofure,Lakhdeep,
15-Mar,122,39,3,6,6,5,,,,,Ofure,Lakhdeep,
05-Feb,124,1,4,4,4,5,5,,,,Ofure,Lakhdeep,
23-Feb,124,19,4,5,4,5,6,,,[ ]= shell or dead,Ofure,Lakhdeep,
15-Mar,124,39,0,[5],[5],[4],,,,3 shells (loosely measured),Ofure,Lakhdeep,
05-Feb,127,1,4,3,4,4,5,,,,Ofure,Lakhdeep,
23-Feb,127,19,3,5,5,5,,,,,Ofure,Lakhdeep,
15-Mar,127,39,2,7,7,,,6,,6 egg masses,Ofure,Lakhdeep,
05-Feb,128,1,4,4,6,4,5,,,,Ofure,Lakhdeep,
23-Feb,128,19,3,5,5,4,,,,,Ofure,Lakhdeep,
15-Mar,128,39,4,6,6,5,5,2,,2 egg masses,Ofure,Lakhdeep,
05-Feb,129,1,4,6,4,2,3,,,,Ofure,Lakhdeep,
23-Feb,129,19,3 (4),4,4,3,4,,,()= from box 134,Ofure,Lakhdeep,
15-Mar,129,39,0,,,,,,,no visible dead,Ofure,Lakhdeep,
05-Feb,132,1,4,4,2,4,3,,,,Ofure,Lakhdeep,
23-Feb,132,19,2,3,2,,,,,,Ofure,Lakhdeep,
15-Mar,132,39,0,,,,,,,no visible dead,Ofure,Lakhdeep,
05-Feb,134,1,4,3,4,5,4,,,,Ofure,Lakhdeep,
23-Feb,134,19,4,4,4,5,4,,,,Ofure,Lakhdeep,
15-Mar,134,39,4,6,6,5,5,1,,1 egg mass,Ofure,Lakhdeep,
05-Feb,139,1,4,4,4,2,6,,,,Ofure,Lakhdeep,
23-Feb,139,19,3,6,5,4,,,,,Ofure,Lakhdeep,
15-Mar,139,39,3,5,5,4,,,,,Ofure,Lakhdeep,
