TankNum,treatment,ExptDay,Month,Day,Snail
5,11,38,February,27,0
9,12,29,February,18,0
9,12,37,February,26,0
9,12,38,February,27,0
9,12,39,February,28,0
15,8,19,February,8,0
15,8,20,February,9,0
15,8,22,February,11,0
15,8,23,February,12,0
15,8,29,February,18,0
15,8,30,February,19,0
15,8,31,February,20,0
15,8,32,February,21,0
15,8,33,February,22,0
15,8,34,February,23,0
15,8,35,February,24,0
15,8,36,February,25,0
15,8,37,February,26,0
15,8,38,February,27,0
15,8,39,February,28,0
18,7,31,February,21,0
18,7,32,February,22,0
18,7,34,February,24,0
18,7,35,February,25,0
18,7,39,March,1,0
23,11,38,March,3,0
23,11,40,March,5,0
34,7,33,February,26,0
34,7,38,March,3,0
34,7,40,March,5,0
39,8,30,February,23,0
39,8,32,February,25,0
39,8,34,February,27,0
39,8,35,February,28,0
39,8,36,March,1,0
39,8,37,March,2,0
39,8,38,March,3,0
39,8,40,March,5,0
40,8,34,February,27,0
40,8,37,March,2,0
40,8,38,March,3,0
40,8,40,March,5,0
83,11,38,March,11,0
83,11,39,March,12,1
83,11,40,March,13,1
85,8,30,March,3,0
85,8,32,March,5,0
85,8,33,March,6,0
85,8,34,March,7,0
85,8,35,March,8,0
85,8,38,March,11,0
85,8,39,March,12,0
85,8,40,March,13,0
86,7,33,March,6,0
86,7,34,March,7,0
86,7,35,March,8,0
87,11,28,March ,1,0
87,11,29,March,2,0
87,11,30,March,3,0
87,11,32,March,5,0
87,11,33,March,6,0
87,11,34,March,7,0
87,11,35,March,8,0
87,11,38,March,11,0
87,11,39,March,12,0
87,11,40,March,13,0
116,12,36,March,11,0
116,12,37,March,12,0
121,11,26,March,2,0
121,11,27,March,3,0
121,11,29,March,5,0
129,8,37,March,13,0
129,8,39,March,15,0
132,7,29,March,5,0
132,7,30,March,6,0
132,7,32,March,8,0
132,7,35,March,11,0
132,7,36,March,12,0
132,7,37,March,13,0
132,7,38,March,14,0
132,7,39,March,15,0
5,11,39,February,28,1
9,12,18,February,7,1
9,12,19,February,8,1
9,12,20,February,9,1
9,12,21,February,10,1
9,12,23,February,12,1
9,12,24,February,13,1
9,12,25,February,14,1
9,12,26,February,15,1
9,12,27,February,16,1
9,12,28,February,17,1
9,12,30,February,19,1
9,12,31,February,20,1
9,12,32,February,21,1
9,12,33,February,22,1
9,12,34,February,23,1
9,12,35,February,24,1
10,11,30,February,19,1
10,11,31,February,20,1
10,11,32,February,21,1
10,11,33,February,22,1
10,11,37,February,26,1
10,11,38,February,27,1
15,8,18,February,7,1
15,8,21,February,10,1
15,8,24,February,13,1
15,8,25,February,14,1
15,8,26,February,15,1
15,8,27,February,16,1
15,8,28,February,17,1
18,7,16,February,6,1
18,7,22,February,12,1
18,7,23,February,13,1
18,7,24,February,14,1
18,7,25,February,15,1
18,7,26,February,16,1
18,7,27,February,17,1
18,7,30,February,20,1
18,7,36,February,26,1
18,7,37,February,27,1
23,11,19,February,12,1
23,11,34,February,27,1
23,11,37,March,2,1
24,7,31,February,24,1
24,7,33,February,26,1
24,7,40,March,5,1
28,12,26,February,19,1
28,12,27,February,20,1
28,12,28,February,21,1
28,12,29,February,22,1
28,12,31,February,24,1
28,12,33,February,26,1
28,12,34,February,27,1
28,12,36,March,1,1
28,12,37,March,2,1
28,12,38,March,3,1
28,12,40,March,5,1
34,7,16,February,9,1
34,7,17,February,10,1
34,7,19,February,12,1
34,7,20,February,13,1
34,7,21,February,14,1
34,7,22,February,15,1
34,7,23,February,16,1
34,7,24,February,17,1
34,7,25,February,18,1
34,7,26,February,19,1
34,7,27,February,20,1
34,7,28,February,21,1
34,7,29,February,22,1
34,7,31,February,24,1
34,7,34,February,27,1
34,7,36,March,1,1
34,7,37,March,2,1
37,12,38,March,3,1
37,12,40,March,5,2
40,8,24,February,17,1
40,8,26,February,19,1
40,8,27,February,20,1
40,8,28,February,21,1
40,8,29,February,22,1
40,8,31,February,24,1
40,8,33,February,26,1
40,8,36,March,1,1
44,11,24,February,20,1
44,11,25,February,21,1
44,11,26,February,22,1
44,11,28,February,24,1
67,12,29,February,27,1
67,12,31,March ,1,1
67,12,32,March ,2,1
67,12,33,March,3,1
67,12,36,March,6,1
67,12,37,March,7,1
67,12,38,March,8,1
67,12,39,March,9,1
76,8,38,March,8,1
76,8,39,March,9,1
77,8,26,February,24,1
77,8,35,March,5,1
77,8,36,March,6,1
77,8,37,March,7,1
77,8,38,March,8,1
77,8,39,March,9,1
84,11,38,March,11,1
85,8,12,February,13,1
85,8,20,February,21,1
85,8,21,February,22,1
85,8,25,February,26,1
85,8,26,February,27,1
85,8,28,March ,1,1
85,8,29,March,2,1
86,7,25,February,26,1
86,7,26,February,27,1
86,7,28,March ,1,1
86,7,29,March,2,1
86,7,32,March,5,1
86,7,38,March,11,1
86,7,39,March,12,1
86,7,40,March,13,1
87,11,19,February,20,1
87,11,20,February,21,1
87,11,21,February,22,1
87,11,22,February,23,1
87,11,23,February,24,1
87,11,26,February,27,1
90,12,23,February,24,1
90,12,26,February,27,1
90,12,30,March,3,1
90,12,32,March,5,1
90,12,33,March,6,1
90,12,34,March,7,1
90,12,35,March,8,1
90,12,38,March,11,1
90,12,39,March,12,1
90,12,40,March,13,1
91,8,28,March ,1,1
115,7,31,March,6,1
115,7,33,March,8,1
115,7,36,March,11,1
115,7,37,March,12,1
115,7,38,March,13,1
115,7,39,March,14,1
116,12,30,March,5,1
116,12,31,March,6,1
116,12,33,March,8,1
116,12,38,March,13,1
116,12,39,March,14,1
121,11,30,March,6,1
121,11,32,March,8,1
121,11,35,March,11,1
121,11,36,March,12,1
121,11,37,March,13,1
121,11,38,March,14,1
121,11,39,March,15,1
129,8,35,March,11,1
129,8,36,March,12,1
129,8,38,March,14,1
132,7,23,February,27,1
132,7,25,March,1,1
132,7,26,March,2,1
5,11,17,February,6,2
5,11,18,February,7,2
5,11,19,February,8,2
5,11,20,February,9,2
5,11,21,February,10,2
5,11,23,February,12,2
5,11,24,February,13,2
5,11,25,February,14,2
5,11,26,February,15,2
5,11,27,February,16,2
5,11,28,February,17,2
5,11,29,February,18,2
5,11,30,February,19,2
5,11,31,February,20,2
5,11,32,February,21,2
5,11,33,February,22,2
5,11,35,February,24,2
5,11,36,February,25,2
5,11,37,February,26,2
9,12,17,February,6,2
10,11,17,February,6,2
10,11,23,February,12,2
10,11,24,February,13,2
10,11,25,February,14,2
10,11,26,February,15,2
10,11,27,February,16,2
10,11,28,February,17,2
10,11,29,February,18,2
15,8,17,February,6,2
18,7,17,February,7,2
18,7,18,February,8,2
18,7,19,February,9,2
18,7,20,February,10,2
18,7,29,February,19,2
23,11,9,February,2,2
23,11,10,February,3,2
23,11,12,February,5,2
23,11,13,February,6,2
23,11,14,February,7,2
23,11,15,February,8,2
23,11,16,February,9,2
23,11,17,February,10,2
23,11,20,February,13,2
23,11,21,February,14,2
23,11,22,February,15,2
23,11,24,February,17,2
23,11,25,February,18,2
23,11,26,February,19,2
23,11,27,February,20,2
23,11,28,February,21,2
23,11,29,February,22,2
23,11,31,February,24,2
23,11,33,February,26,2
24,7,38,March,3,2
28,12,20,February,13,2
28,12,21,February,14,2
28,12,22,February,15,2
28,12,23,February,16,2
28,12,24,February,17,2
28,12,25,February,18,2
34,7,8,February,1,2
34,7,9,February,2,2
34,7,10,February,3,2
34,7,12,February,5,2
34,7,13,February,6,2
34,7,14,February,7,2
34,7,15,February,8,2
37,12,8,February,1,2
37,12,12,February,5,2
37,12,13,February,6,2
37,12,14,February,7,2
37,12,15,February,8,2
37,12,16,February,9,2
37,12,17,February,10,2
37,12,19,February,12,2
37,12,20,February,13,2
37,12,21,February,14,2
37,12,22,February,15,2
37,12,23,February,16,2
37,12,24,February,17,2
37,12,25,February,18,2
37,12,26,February,19,2
37,12,27,February,20,2
37,12,28,February,21,2
37,12,29,February,22,2
37,12,31,February,24,2
37,12,33,February,26,2
37,12,34,February,27,2
37,12,36,March,1,2
37,12,37,March,2,2
39,8,17,February,10,2
39,8,19,February,12,2
39,8,20,February,13,2
39,8,21,February,14,2
39,8,22,February,15,2
39,8,23,February,16,2
39,8,24,February,17,2
39,8,25,February,18,2
39,8,26,February,19,2
39,8,27,February,20,2
39,8,28,February,21,2
39,8,29,February,22,2
40,8,20,February,13,2
40,8,22,February,15,2
40,8,23,February,16,2
40,8,25,February,18,2
44,11,20,February,16,2
44,11,21,February,17,2
44,11,22,February,18,2
44,11,30,February,26,2
44,11,31,February,27,2
44,11,33,March,1,2
44,11,34,March,2,2
44,11,35,March,3,2
44,11,37,March,5,2
44,11,38,March,6,2
44,11,39,March,7,2
56,12,5,February,1,2
56,12,6,February,2,2
56,12,7,February,3,2
56,12,22,February,18,2
56,12,23,February,19,2
56,12,24,February,20,2
56,12,25,February,21,2
56,12,26,February,22,2
56,12,28,February,24,2
56,12,29,February,25,2
56,12,30,February,26,2
56,12,31,February,27,2
56,12,33,March,1,2
56,12,34,March,2,2
56,12,35,March,3,2
56,12,37,March,5,2
56,12,38,March,6,2
56,12,39,March,7,2
59,7,21,February,17,2
64,7,36,March,6,2
64,7,37,March,7,2
64,7,38,March,8,2
64,7,39,March,9,2
67,12,11,February,9,2
67,12,12,February,10,2
67,12,14,February,12,2
67,12,15,February,13,2
67,12,16,February,14,2
67,12,17,February,15,2
67,12,18,February,16,2
67,12,19,February,17,2
67,12,20,February,18,2
67,12,21,February,19,2
67,12,24,February,22,2
67,12,25,February,23,2
67,12,26,February,24,2
67,12,28,February,26,2
76,8,18,February,16,2
76,8,19,February,17,2
76,8,20,February,18,2
76,8,21,February,19,2
76,8,22,February,20,2
76,8,23,February,21,2
76,8,24,February,22,2
76,8,26,February,24,2
76,8,28,February,26,2
76,8,29,February,27,2
76,8,31,March ,1,2
76,8,32,March,2,2
76,8,33,March,3,2
76,8,36,March,6,2
76,8,37,March,7,2
77,8,9,February,7,2
77,8,10,February,8,2
77,8,12,February,10,2
77,8,21,February,19,2
77,8,22,February,20,2
77,8,23,February,21,2
77,8,24,February,22,2
77,8,28,February,26,2
77,8,29,February,27,2
77,8,31,March ,1,2
77,8,32,March,2,2
77,8,33,March,3,2
83,11,16,February,17,2
83,11,17,February,18,2
83,11,18,February,19,2
83,11,19,February,20,2
83,11,20,February,21,2
83,11,21,February,22,2
83,11,23,February,24,2
83,11,25,February,26,2
83,11,26,February,27,2
83,11,28,March,1,2
83,11,29,March,2,2
83,11,30,March,3,2
83,11,32,March,5,2
83,11,33,March,6,2
83,11,34,March,7,2
83,11,35,March,8,2
84,11,20,February,21,2
84,11,21,February,22,2
84,11,23,February,24,2
84,11,25,February,26,2
84,11,26,February,27,2
84,11,28,March ,1,2
84,11,29,March,2,2
84,11,30,March,3,2
84,11,31,March,4,2
84,11,32,March,5,2
84,11,33,March,6,2
84,11,34,March,7,2
84,11,35,March,8,2
84,11,39,March,12,2
84,11,40,March,13,3
85,8,13,February,14,2
85,8,16,February,17,2
85,8,17,February,18,2
85,8,18,February,19,2
86,7,30,March,3,2
87,11,6,February,7,2
87,11,16,February,17,2
87,11,17,February,18,2
87,11,18,February,19,2
90,12,14,February,15,2
90,12,15,February,16,2
90,12,19,February,20,2
90,12,20,February,21,2
90,12,21,February,22,2
90,12,28,March ,1,2
90,12,29,March,2,2
91,8,26,February,27,2
102,8,32,March,5,2
102,8,33,March,6,2
102,8,34,March,7,2
102,8,35,March,8,2
102,8,38,March,11,2
102,8,39,March,12,2
102,8,40,March,13,1
103,8,35,March,8,2
103,8,38,March,11,2
103,8,39,March,12,2
103,8,40,March,13,2
114,11,14,February,17,2
114,11,39,March,14,2
115,7,13,February,16,2
115,7,16,February,19,2
115,7,17,February,20,2
115,7,18,February,21,2
115,7,19,February,22,2
115,7,24,February,27,2
115,7,26,March,1,2
115,7,27,March,2,2
115,7,28,March,3,2
115,7,30,March,5,2
116,12,26,March,1,2
116,12,27,March,2,2
116,12,28,March,3,2
121,11,11,February,15,2
121,11,12,February,16,2
121,11,16,February,20,2
121,11,17,February,21,2
121,11,18,February,22,2
121,11,23,February,27,2
121,11,25,March,1,2
122,7,30,March,6,2
127,11,12,February,16,2
127,11,15,February,19,2
127,11,29,March,5,2
127,11,30,March,6,2
127,11,32,March,8,2
127,11,35,March,11,2
127,11,36,March,12,2
127,11,37,March,13,2
127,11,38,March,14,2
127,11,39,March,15,2
129,8,23,February,27,2
129,8,26,March,2,2
132,7,27,March,3,2
139,7,39,March,15,2
10,11,11,January,31,3
10,11,12,February,1,3
10,11,18,February,7,3
10,11,19,February,8,3
10,11,20,February,9,3
15,8,12,February,1,3
15,8,13,February,2,3
15,8,14,February,3,3
15,8,16,February,5,3
18,7,10,January,31,3
18,7,11,February,1,3
18,7,12,February,2,3
18,7,13,February,3,3
18,7,15,February,5,3
23,11,7,January,31,3
23,11,8,February,1,3
24,7,8,February,1,3
24,7,9,February,2,3
24,7,10,February,3,3
24,7,12,February,5,3
24,7,13,February,6,3
24,7,14,February,7,3
24,7,15,February,8,3
24,7,16,February,9,3
24,7,17,February,10,3
24,7,19,February,12,3
24,7,20,February,13,3
24,7,21,February,14,3
24,7,22,February,15,3
24,7,23,February,16,3
24,7,24,February,17,3
24,7,25,February,18,3
24,7,26,February,19,3
24,7,34,February,27,3
24,7,37,March,2,3
28,12,8,February,1,3
28,12,9,February,2,3
28,12,10,February,3,3
28,12,12,February,5,3
28,12,13,February,6,3
28,12,14,February,7,3
28,12,15,February,8,3
28,12,16,February,9,3
28,12,17,February,10,3
28,12,19,February,12,3
37,12,7,January,31,3
37,12,9,February,2,3
37,12,10,February,3,3
39,8,12,February,5,3
39,8,13,February,6,3
39,8,14,February,7,3
39,8,15,February,8,3
39,8,16,February,9,3
40,8,12,February,5,3
40,8,13,February,6,3
40,8,14,February,7,3
40,8,15,February,8,3
40,8,16,February,9,3
40,8,17,February,10,3
40,8,19,February,12,3
40,8,21,February,14,3
44,11,16,February,12,3
44,11,17,February,13,3
44,11,18,February,14,3
44,11,19,February,15,3
56,12,9,February,5,3
56,12,10,February,6,3
56,12,11,February,7,3
56,12,12,February,8,3
56,12,16,February,12,3
56,12,17,February,13,3
56,12,18,February,14,3
56,12,19,February,15,3
56,12,20,February,16,3
56,12,21,February,17,3
59,7,9,February,5,3
59,7,10,February,6,3
59,7,11,February,7,3
59,7,12,February,8,3
59,7,13,February,9,3
59,7,14,February,10,3
59,7,16,February,12,3
59,7,17,February,13,3
59,7,18,February,14,3
59,7,19,February,15,3
59,7,20,February,16,3
59,7,22,February,18,3
59,7,23,February,19,3
59,7,24,February,20,3
59,7,25,February,21,3
59,7,26,February,22,3
59,7,28,February,24,3
59,7,30,February,26,3
59,7,31,February,27,3
59,7,33,March,1,3
59,7,34,March,2,3
59,7,35,March,3,3
59,7,37,March,5,3
59,7,38,March,6,3
59,7,39,March,7,3
64,7,9,February,7,3
64,7,10,February,8,3
67,12,7,February,5,3
67,12,8,February,6,3
67,12,9,February,7,3
67,12,10,February,8,3
76,8,15,February,13,3
76,8,16,February,14,3
76,8,17,February,15,3
76,8,35,March,5,3
77,8,7,February,5,3
77,8,8,February,6,3
77,8,11,February,9,3
77,8,14,February,12,3
77,8,15,February,13,3
77,8,16,February,14,3
77,8,17,February,15,3
77,8,18,February,16,3
77,8,19,February,17,3
78,12,26,February,24,3
78,12,36,March,6,3
78,12,37,March,7,3
78,12,38,March,8,3
78,12,39,March,9,3
83,11,11,February,12,3
83,11,12,February,13,3
83,11,13,February,14,3
83,11,14,February,15,3
83,11,15,February,16,3
84,11,19,February,20,3
85,8,11,February,12,3
85,8,14,February,15,3
85,8,15,February,16,3
86,7,12,February,13,3
86,7,15,February,16,3
86,7,16,February,17,3
86,7,18,February,19,3
86,7,20,February,21,3
86,7,23,February,24,3
87,11,5,February,6,3
87,11,7,February,8,3
87,11,8,February,9,3
87,11,9,February,10,3
87,11,11,February,12,3
87,11,12,February,13,3
87,11,13,February,14,3
87,11,14,February,15,3
90,12,13,February,14,3
90,12,16,February,17,3
90,12,17,February,18,3
90,12,18,February,19,3
91,8,4,February,5,3
91,8,18,February,19,3
91,8,19,February,20,3
91,8,20,February,21,3
91,8,23,February,24,3
91,8,29,March,2,3
91,8,30,March,3,3
91,8,32,March,5,3
91,8,33,March,6,3
91,8,34,March,7,3
91,8,35,March,8,3
91,8,38,March,11,3
91,8,39,March,12,3
91,8,40,March,13,3
102,8,4,February,5,3
102,8,5,February,6,3
102,8,26,February,27,3
102,8,30,March,3,3
103,8,14,February,15,3
103,8,15,February,16,3
103,8,16,February,17,3
103,8,17,February,18,3
103,8,18,February,19,3
103,8,19,February,20,3
103,8,20,February,21,3
103,8,21,February,22,3
103,8,23,February,24,3
103,8,26,February,27,3
103,8,28,March ,1,3
103,8,29,March,2,3
103,8,30,March,3,3
103,8,32,March,5,3
103,8,33,March,6,3
103,8,34,March,7,3
113,12,18,February,21,3
113,12,19,February,22,3
113,12,25,February,28,3
113,12,26,March ,1,3
113,12,27,March,2,3
113,12,28,March,3,3
113,12,30,March,5,3
113,12,31,March,6,3
113,12,32,March,7,3
113,12,33,March,8,3
113,12,36,March,11,3
113,12,37,March,12,3
113,12,38,March,13,3
113,12,39,March,14,3
114,11,17,February,20,3
114,11,18,February,21,3
114,11,19,February,22,3
114,11,24,February,27,3
114,11,25,February,28,3
114,11,26,March ,1,3
114,11,27,March,2,3
114,11,28,March,3,3
114,11,30,March,5,3
114,11,31,March,6,3
114,11,33,March,8,3
114,11,36,March,11,3
114,11,37,March,12,3
114,11,38,March,13,3
115,7,12,February,15,3
115,7,14,February,17,3
115,7,15,February,18,3
115,7,21,February,24,3
116,12,7,February,10,3
116,12,9,February,12,3
116,12,10,February,13,3
116,12,12,February,15,3
116,12,13,February,16,3
116,12,14,February,17,3
116,12,15,February,18,3
116,12,16,February,19,3
116,12,17,February,20,3
116,12,18,February,21,3
116,12,19,February,22,3
116,12,21,February,24,3
116,12,24,February,27,3
121,11,3,February,7,3
121,11,4,February,8,3
121,11,9,February,13,3
121,11,13,February,17,3
121,11,14,February,18,3
121,11,15,February,19,3
121,11,20,February,24,3
122,7,13,February,17,3
122,7,25,March,1,3
122,7,26,March,2,3
122,7,27,March,3,3
122,7,29,March,5,3
122,7,32,March,8,3
122,7,35,March,11,3
122,7,36,March,12,3
122,7,38,March,14,3
122,7,39,March,15,3
127,11,11,February,15,3
127,11,13,February,17,3
127,11,14,February,18,3
127,11,16,February,20,3
127,11,17,February,21,3
127,11,20,February,24,3
127,11,23,February,27,3
127,11,25,March,1,3
127,11,26,March,2,3
127,11,27,March,3,3
128,12,11,February,15,3
128,12,16,February,20,3
128,12,30,March,6,3
128,12,32,March,8,3
129,8,8,February,12,3
129,8,11,February,15,3
129,8,12,February,16,3
129,8,13,February,17,3
129,8,14,February,18,3
129,8,15,February,19,3
129,8,16,February,20,3
129,8,17,February,21,3
129,8,18,February,22,3
129,8,20,February,24,3
129,8,25,March,1,3
129,8,27,March,3,3
129,8,29,March,5,3
129,8,30,March,6,3
129,8,32,March,8,3
132,7,11,February,15,3
132,7,13,February,17,3
132,7,14,February,18,3
